Rows,Cols,Latency,Energy,EDP
4,4,6.313602e-02,4.178319e-04,9.623778e-01
4,8,3.156801e-02,4.700609e-04,2.706687e-01
4,12,2.104534e-02,5.222899e-04,1.336636e-01
4,16,1.578400e-02,5.745189e-04,8.270434e-02
4,20,1.262720e-02,6.267479e-04,5.774267e-02
4,24,1.052267e-02,6.789769e-04,4.344066e-02
4,28,9.019431e-03,7.312059e-04,3.437063e-02
4,32,7.892002e-03,7.834349e-04,2.819466e-02
4,36,7.015113e-03,8.356639e-04,2.376241e-02
4,40,6.313602e-03,8.878929e-04,2.045053e-02
4,44,5.739638e-03,9.401219e-04,1.789545e-02
4,48,5.261335e-03,9.923509e-04,1.587255e-02
4,52,4.856617e-03,1.044580e-03,1.423636e-02
4,56,4.509716e-03,1.096809e-03,1.288899e-02
4,60,4.209068e-03,1.149038e-03,1.176239e-02
4,64,3.946001e-03,1.201267e-03,1.080795e-02
4,68,3.713883e-03,1.253496e-03,9.990081e-03
4,72,3.507557e-03,1.305725e-03,9.282193e-03
4,76,3.322948e-03,1.357954e-03,8.664066e-03
4,80,3.156801e-03,1.410183e-03,8.120062e-03
4,84,3.006477e-03,1.462412e-03,7.637919e-03
4,88,2.869819e-03,1.514641e-03,7.207891e-03
4,92,2.745044e-03,1.566870e-03,6.822149e-03
4,96,2.630667e-03,1.619099e-03,6.474330e-03
4,100,2.525441e-03,1.671328e-03,6.159218e-03
4,104,2.428308e-03,1.723557e-03,5.872497e-03
4,108,2.338371e-03,1.775786e-03,5.610570e-03
4,112,2.254858e-03,1.828015e-03,5.370412e-03
4,116,2.177104e-03,1.880244e-03,5.149465e-03
4,120,2.104534e-03,1.932473e-03,4.945552e-03
4,124,2.036646e-03,1.984702e-03,4.756810e-03
4,128,1.973001e-03,2.036931e-03,4.581632e-03
8,4,3.156801e-02,7.834349e-04,4.511146e-01
8,8,1.578400e-02,8.356639e-04,1.202972e-01
8,12,1.052267e-02,8.878929e-04,5.680702e-02
8,16,7.892002e-03,9.401219e-04,3.383359e-02
8,20,6.313602e-03,9.923509e-04,2.285647e-02
8,24,5.261335e-03,1.044580e-03,1.670795e-02
8,28,4.509716e-03,1.096809e-03,1.288899e-02
8,32,3.946001e-03,1.149038e-03,1.033804e-02
8,36,3.507557e-03,1.201267e-03,8.539617e-03
8,40,3.156801e-03,1.253496e-03,7.217833e-03
8,44,2.869819e-03,1.305725e-03,6.213699e-03
8,48,2.630667e-03,1.357954e-03,5.430083e-03
8,52,2.428308e-03,1.410183e-03,4.804771e-03
8,56,2.254858e-03,1.462412e-03,4.296329e-03
