OU Size: 4x4
layer,time_s,energy_J
1,2.336448e-02,6.174418e-07
2,4.984423e-01,1.317209e-05
3,2.492211e-01,6.586046e-06
4,4.984423e-01,1.317209e-05
5,2.492211e-01,6.586046e-06
6,4.984423e-01,1.317209e-05
7,4.984423e-01,1.317209e-05
8,2.492211e-01,6.586046e-06
9,2.820922e-01,1.317209e-05
10,4.984423e-01,1.317209e-05
11,8.124051e-02,3.293023e-06
12,1.246106e-01,3.293023e-06
13,1.111520e-01,3.293023e-06
14,1.076214e-04,7.317853e-09
15,1.234421e-03,1.194747e-07
16,8.066545e-04,2.916864e-08
Total,,,
Latency (max),4.984423e-01,
Energy (sum),,1.094432e-04,
EDP, , ,5.455109e-05

OU Size: 4x8
layer,time_s,energy_J
1,1.168224e-02,7.637550e-07
2,2.492211e-01,1.629344e-05
3,1.246106e-01,8.146720e-06
4,2.492211e-01,1.629344e-05
5,1.246106e-01,8.146720e-06
6,2.492211e-01,1.629344e-05
7,2.492211e-01,1.629344e-05
8,1.246106e-01,8.146720e-06
9,1.410461e-01,1.629344e-05
10,2.492211e-01,1.629344e-05
11,4.062026e-02,4.073360e-06
12,6.230528e-02,4.073360e-06
13,5.557599e-02,4.073360e-06
14,5.381070e-05,9.051942e-09
15,6.172106e-04,1.477863e-07
16,4.033272e-04,3.608064e-08
Total,,,
Latency (max),2.492211e-01,
Energy (sum),,1.353776e-04,
EDP, , ,3.373895e-05

OU Size: 4x12
layer,time_s,energy_J
1,7.788160e-03,9.100682e-07
2,1.661474e-01,1.941479e-05
3,8.307371e-02,9.707394e-06
4,1.661474e-01,1.941479e-05
5,8.307371e-02,9.707394e-06
6,1.661474e-01,1.941479e-05
7,1.661474e-01,1.941479e-05
8,8.307371e-02,9.707394e-06
9,9.403073e-02,1.941479e-05
10,1.661474e-01,1.941479e-05
11,2.708017e-02,4.853697e-06
12,4.153685e-02,4.853697e-06
13,3.705066e-02,4.853697e-06
14,3.587380e-05,1.078603e-08
15,4.114737e-04,1.760979e-07
16,2.688848e-04,4.299264e-08
Total,,,
Latency (max),1.661474e-01,
Energy (sum),,1.613119e-04,
EDP, , ,2.680156e-05

OU Size: 4x16
layer,time_s,energy_J
1,5.841120e-03,1.056381e-06
2,1.246106e-01,2.253614e-05
3,6.230528e-02,1.126807e-05
4,1.246106e-01,2.253614e-05
5,6.230528e-02,1.126807e-05
6,1.246106e-01,2.253614e-05
7,1.246106e-01,2.253614e-05
8,6.230528e-02,1.126807e-05
9,7.052305e-02,2.253614e-05
10,1.246106e-01,2.253614e-05
11,2.031013e-02,5.634034e-06
12,3.115264e-02,5.634034e-06
13,2.778800e-02,5.634034e-06
14,2.690535e-05,1.252012e-08
15,3.086053e-04,2.044094e-07
16,2.016636e-04,4.990464e-08
Total,,,
Latency (max),1.246106e-01,
Energy (sum),,1.872463e-04,
EDP, , ,2.333287e-05

OU Size: 4x20
layer,time_s,energy_J
1,4.672896e-03,1.202695e-06
2,9.968845e-02,2.565749e-05
3,4.984423e-02,1.282874e-05
4,9.968845e-02,2.565749e-05
5,4.984423e-02,1.282874e-05
6,9.968845e-02,2.565749e-05
7,9.968845e-02,2.565749e-05
8,4.984423e-02,1.282874e-05
9,5.641844e-02,2.565749e-05
10,9.968845e-02,2.565749e-05
11,1.624810e-02,6.414371e-06
12,2.492211e-02,6.414371e-06
13,2.223040e-02,6.414371e-06
14,2.152428e-05,1.425421e-08
15,2.468842e-04,2.327210e-07
16,1.613309e-04,5.681664e-08
Total,,,
Latency (max),9.968845e-02,
Energy (sum),,2.131807e-04,
EDP, , ,2.125166e-05

OU Size: 4x24
layer,time_s,energy_J
1,3.894080e-03,1.349008e-06
2,8.307371e-02,2.877883e-05
3,4.153685e-02,1.438942e-05
4,8.307371e-02,2.877883e-05
5,4.153685e-02,1.438942e-05
6,8.307371e-02,2.877883e-05
7,8.307371e-02,2.877883e-05
8,4.153685e-02,1.438942e-05
9,4.701537e-02,2.877883e-05
10,8.307371e-02,2.877883e-05
11,1.354009e-02,7.194709e-06
12,2.076843e-02,7.194709e-06
13,1.852533e-02,7.194709e-06
14,1.793690e-05,1.598830e-08
15,2.057369e-04,2.610325e-07
16,1.344424e-04,6.372864e-08
Total,,,
Latency (max),8.307371e-02,
Energy (sum),,2.391151e-04,
EDP, , ,1.986418e-05

OU Size: 4x28
layer,time_s,energy_J
1,3.337783e-03,1.495321e-06
2,7.120604e-02,3.190018e-05
3,3.560302e-02,1.595009e-05
4,7.120604e-02,3.190018e-05
5,3.560302e-02,1.595009e-05
6,7.120604e-02,3.190018e-05
7,7.120604e-02,3.190018e-05
8,3.560302e-02,1.595009e-05
9,4.029888e-02,3.190018e-05
10,7.120604e-02,3.190018e-05
11,1.160579e-02,7.975046e-06
12,1.780151e-02,7.975046e-06
13,1.587885e-02,7.975046e-06
14,1.537448e-05,1.772238e-08
15,1.763459e-04,2.893441e-07
16,1.152364e-04,7.064064e-08
Total,,,
Latency (max),7.120604e-02,
Energy (sum),,2.650495e-04,
EDP, , ,1.887313e-05

OU Size: 4x32
layer,time_s,energy_J
1,2.920560e-03,1.641634e-06
2,6.230528e-02,3.502153e-05
3,3.115264e-02,1.751077e-05
4,6.230528e-02,3.502153e-05
5,3.115264e-02,1.751077e-05
6,6.230528e-02,3.502153e-05
7,6.230528e-02,3.502153e-05
8,3.115264e-02,1.751077e-05
9,3.526152e-02,3.502153e-05
10,6.230528e-02,3.502153e-05
11,1.015506e-02,8.755383e-06
12,1.557632e-02,8.755383e-06
13,1.389400e-02,8.755383e-06
14,1.345267e-05,1.945647e-08
15,1.543027e-04,3.176556e-07
16,1.008318e-04,7.755264e-08
Total,,,
Latency (max),6.230528e-02,
Energy (sum),,2.909839e-04,
EDP, , ,1.812984e-05

OU Size: 4x36
layer,time_s,energy_J
1,2.596053e-03,1.787947e-06
2,5.538247e-02,3.814288e-05
3,2.769124e-02,1.907144e-05
