OU Size: 4x4
layer,time_s,energy_J
1,1.014686e-02,3.159282e-07
2,2.164664e-01,6.739801e-06
3,1.082332e-01,3.369900e-06
4,2.164664e-01,6.739801e-06
5,1.082332e-01,3.369900e-06
6,2.164664e-01,6.739801e-06
7,2.164664e-01,6.739801e-06
8,1.082332e-01,3.369900e-06
9,1.708832e-01,6.739801e-06
10,1.379545e-01,6.739801e-06
11,5.411659e-02,1.684950e-06
12,5.127007e-02,1.684950e-06
13,2.903203e-02,1.684950e-06
14,3.739075e-05,3.744347e-09
15,4.288732e-04,6.113198e-08
16,3.254877e-04,1.492480e-08
Total,,,
Latency (max),2.164664e-01,
Energy (sum),,5.599909e-05,
EDP, , ,1.212192e-05

OU Size: 4x8
layer,time_s,energy_J
1,5.073430e-03,4.679313e-07
2,1.082332e-01,9.982535e-06
3,5.411659e-02,4.991268e-06
4,1.082332e-01,9.982535e-06
5,5.411659e-02,4.991268e-06
6,1.082332e-01,9.982535e-06
7,1.082332e-01,9.982535e-06
8,5.411659e-02,4.991268e-06
9,8.544161e-02,9.982535e-06
10,6.897727e-02,9.982535e-06
11,2.705829e-02,2.495634e-06
12,2.563503e-02,2.495634e-06
13,1.451602e-02,2.495634e-06
14,1.869537e-05,5.545872e-09
15,2.144366e-04,9.054454e-08
16,1.627439e-04,2.210560e-08
Total,,,
Latency (max),1.082332e-01,
Energy (sum),,8.294204e-05,
EDP, , ,8.977081e-06

OU Size: 4x12
layer,time_s,energy_J
1,3.382287e-03,6.199345e-07
2,7.215545e-02,1.322527e-05
3,3.607773e-02,6.612635e-06
4,7.215545e-02,1.322527e-05
5,3.607773e-02,6.612635e-06
6,7.215545e-02,1.322527e-05
7,7.215545e-02,1.322527e-05
8,3.607773e-02,6.612635e-06
9,5.696107e-02,1.322527e-05
10,4.598484e-02,1.322527e-05
11,1.803886e-02,3.306317e-06
12,1.709002e-02,3.306317e-06
13,9.677344e-03,3.306317e-06
14,1.246358e-05,7.347397e-09
15,1.429577e-04,1.199571e-07
16,1.084959e-04,2.928640e-08
Total,,,
Latency (max),7.215545e-02,
Energy (sum),,1.098850e-04,
EDP, , ,7.928802e-06

OU Size: 4x16
layer,time_s,energy_J
1,2.536715e-03,7.719377e-07
2,5.411659e-02,1.646800e-05
3,2.705829e-02,8.234002e-06
4,5.411659e-02,1.646800e-05
5,2.705829e-02,8.234002e-06
6,5.411659e-02,1.646800e-05
7,5.411659e-02,1.646800e-05
8,2.705829e-02,8.234002e-06
9,4.272080e-02,1.646800e-05
