OU Size: 4x4
layer,time_s,energy_J
1,2.017842e-03,7.939931e-07
2,4.304729e-02,1.693852e-05
3,2.152364e-02,8.469259e-06
4,3.625043e-02,1.693852e-05
5,8.080984e-03,8.469259e-06
6,7.827011e-03,1.693852e-05
7,7.511894e-03,1.693852e-05
8,1.888955e-03,8.469259e-06
9,1.912210e-03,1.693852e-05
10,1.928085e-03,1.693852e-05
11,4.739909e-04,4.234630e-06
12,4.726895e-04,4.234630e-06
13,4.782593e-04,4.234630e-06
14,2.323644e-07,9.410320e-09
15,2.665228e-06,1.536374e-07
16,2.441762e-06,3.750912e-08
Total,,,
Latency (max),4.304729e-02,
Energy (sum),,1.407373e-04,
EDP, , ,6.058360e-06

OU Size: 4x8
layer,time_s,energy_J
1,1.008921e-03,7.978947e-07
2,2.152364e-02,1.702175e-05
3,1.076182e-02,8.510877e-06
4,1.812521e-02,1.702175e-05
5,4.040492e-03,8.510877e-06
6,3.913505e-03,1.702175e-05
7,3.755947e-03,1.702175e-05
8,9.444776e-04,8.510877e-06
9,9.561049e-04,1.702175e-05
10,9.640425e-04,1.702175e-05
11,2.369954e-04,4.255439e-06
12,2.363447e-04,4.255439e-06
13,2.391296e-04,4.255439e-06
14,1.161822e-07,9.456563e-09
15,1.332614e-06,1.543923e-07
16,1.220881e-06,3.769344e-08
Total,,,
Latency (max),2.152364e-02,
Energy (sum),,1.414289e-04,
EDP, , ,3.044065e-06

OU Size: 4x12
layer,time_s,energy_J
1,6.726138e-04,8.017964e-07
2,1.434910e-02,1.710499e-05
3,7.174548e-03,8.552495e-06
4,1.208348e-02,1.710499e-05
5,2.693661e-03,8.552495e-06
6,2.609004e-03,1.710499e-05
7,2.503965e-03,1.710499e-05
8,6.296517e-04,8.552495e-06
9,6.374033e-04,1.710499e-05
10,6.426950e-04,1.710499e-05
11,1.579970e-04,4.276248e-06
12,1.575632e-04,4.276248e-06
13,1.594198e-04,4.276248e-06
14,7.745479e-08,9.502805e-09
15,8.884092e-07,1.551473e-07
16,8.139207e-07,3.787776e-08
Total,,,
Latency (max),1.434910e-02,
Energy (sum),,1.421205e-04,
EDP, , ,2.039301e-06

OU Size: 4x16
layer,time_s,energy_J
1,5.044604e-04,8.056981e-07
2,1.076182e-02,1.718823e-05
3,5.380911e-03,8.594113e-06
4,9.062606e-03,1.718823e-05
5,2.020246e-03,8.594113e-06
6,1.956753e-03,1.718823e-05
7,1.877974e-03,1.718823e-05
8,4.722388e-04,8.594113e-06
9,4.780525e-04,1.718823e-05
10,4.820212e-04,1.718823e-05
11,1.184977e-04,4.297057e-06
12,1.181724e-04,4.297057e-06
13,1.195648e-04,4.297057e-06
14,5.809109e-08,9.549047e-09
15,6.663069e-07,1.559023e-07
16,6.104405e-07,3.806208e-08
Total,,,
Latency (max),1.076182e-02,
Energy (sum),,1.428121e-04,
EDP, , ,1.536918e-06

OU Size: 4x20
layer,time_s,energy_J
1,4.035683e-04,8.095998e-07
2,8.609457e-03,1.727146e-05
3,4.304729e-03,8.635731e-06
4,7.250085e-03,1.727146e-05
5,1.616197e-03,8.635731e-06
6,1.565402e-03,1.727146e-05
7,1.502379e-03,1.727146e-05
8,3.777910e-04,8.635731e-06
9,3.824420e-04,1.727146e-05
10,3.856170e-04,1.727146e-05
