Rows,Cols,Energy,TOPS,Time,Power Density
4,4,7.12125e-15,3.71094e-03,2.15912e-02,2.64265e-05
4,8,8.80875e-15,7.42187e-03,1.07956e-02,6.53774e-05
4,12,1.04963e-14,1.11328e-02,7.19705e-03,1.16853e-04
4,16,1.21838e-14,1.48437e-02,5.39779e-03,1.80853e-04
4,20,1.38713e-14,1.85547e-02,4.31823e-03,2.57377e-04
4,24,1.55588e-14,2.22656e-02,3.59853e-03,3.46425e-04
4,28,1.72463e-14,2.59766e-02,3.08445e-03,4.47998e-04
4,32,1.89338e-14,2.96875e-02,2.69890e-03,5.62096e-04
4,36,2.06213e-14,3.33984e-02,2.39902e-03,6.88718e-04
4,40,2.23087e-14,3.71094e-02,2.15912e-03,8.27864e-04
4,44,2.39962e-14,4.08203e-02,1.96283e-03,9.79534e-04
4,48,2.56838e-14,4.45312e-02,1.79926e-03,1.14373e-03
4,52,2.73713e-14,4.82422e-02,1.66086e-03,1.32045e-03
4,56,2.90588e-14,5.19531e-02,1.54223e-03,1.50969e-03
4,60,3.07463e-14,5.56641e-02,1.43941e-03,1.71146e-03
4,64,3.24338e-14,5.93750e-02,1.34945e-03,1.92575e-03
4,68,3.41213e-14,6.30859e-02,1.27007e-03,2.15257e-03
4,72,3.58088e-14,6.67969e-02,1.19951e-03,2.39191e-03
4,76,3.74963e-14,7.05078e-02,1.13638e-03,2.64378e-03
4,80,3.91838e-14,7.42188e-02,1.07956e-03,2.90817e-03
4,84,4.08713e-14,7.79297e-02,1.02815e-03,3.18508e-03
4,88,4.25588e-14,8.16406e-02,9.81416e-04,3.47452e-03
4,92,4.42463e-14,8.53516e-02,9.38746e-04,3.77649e-03
4,96,4.59338e-14,8.90625e-02,8.99632e-04,4.09097e-03
4,100,4.76213e-14,9.27734e-02,8.63647e-04,4.41799e-03
4,104,4.93088e-14,9.64844e-02,8.30429e-04,4.75752e-03
4,108,5.09963e-14,1.00195e-01,7.99673e-04,5.10959e-03
4,112,5.26838e-14,1.03906e-01,7.71113e-04,5.47417e-03
4,116,5.43713e-14,1.07617e-01,7.44523e-04,5.85128e-03
4,120,5.60588e-14,1.11328e-01,7.19705e-04,6.24092e-03
4,124,5.77462e-14,1.15039e-01,6.96489e-04,6.64307e-03
4,128,5.94337e-14,1.18750e-01,6.74724e-04,7.05776e-03
8,4,1.25550e-14,7.42187e-03,1.07956e-02,9.31816e-05
8,8,1.42425e-14,1.48437e-02,5.39779e-03,2.11412e-04
8,12,1.59300e-14,2.22656e-02,3.59853e-03,3.54691e-04
8,16,1.76175e-14,2.96875e-02,2.69890e-03,5.23020e-04
8,20,1.93050e-14,3.71094e-02,2.15912e-03,7.16396e-04
8,24,2.09925e-14,4.45312e-02,1.79926e-03,9.34822e-04
8,28,2.26800e-14,5.19531e-02,1.54223e-03,1.17830e-03
8,32,2.43675e-14,5.93750e-02,1.34945e-03,1.44682e-03
8,36,2.60550e-14,6.67969e-02,1.19951e-03,1.74039e-03
8,40,2.77425e-14,7.42188e-02,1.07956e-03,2.05901e-03
8,44,2.94300e-14,8.16406e-02,9.81416e-04,2.40268e-03
8,48,3.11175e-14,8.90625e-02,8.99632e-04,2.77140e-03
8,52,3.28050e-14,9.64844e-02,8.30429e-04,3.16517e-03
8,56,3.44925e-14,1.03906e-01,7.71113e-04,3.58399e-03
8,60,3.61800e-14,1.11328e-01,7.19705e-04,4.02785e-03
8,64,3.78675e-14,1.18750e-01,6.74724e-04,4.49677e-03
8,68,3.95550e-14,1.26172e-01,6.35034e-04,4.99073e-03
8,72,4.12425e-14,1.33594e-01,5.99755e-04,5.50974e-03
8,76,4.29300e-14,1.41016e-01,5.68188e-04,6.05380e-03
8,80,4.46175e-14,1.48438e-01,5.39779e-04,6.62291e-03
8,84,4.63050e-14,1.55859e-01,5.14075e-04,7.21707e-03
8,88,4.79925e-14,1.63281e-01,4.90708e-04,7.83628e-03
8,92,4.96800e-14,1.70703e-01,4.69373e-04,8.48053e-03
8,96,5.13675e-14,1.78125e-01,4.49816e-04,9.14984e-03
8,100,5.30550e-14,1.85547e-01,4.31823e-04,9.84419e-03
8,104,5.47425e-14,1.92969e-01,4.15215e-04,1.05636e-02
8,108,5.64300e-14,2.00391e-01,3.99836e-04,1.13080e-02
8,112,5.81175e-14,2.07812e-01,3.85556e-04,1.20775e-02
8,116,5.98050e-14,2.15234e-01,3.72261e-04,1.28721e-02
8,120,6.14925e-14,2.22656e-01,3.59853e-04,1.36917e-02
8,124,6.31800e-14,2.30078e-01,3.48245e-04,1.45363e-02
8,128,6.48675e-14,2.37500e-01,3.37362e-04,1.54060e-02
12,4,1.79887e-14,1.11328e-02,7.19705e-03,2.00265e-04
12,8,1.96763e-14,2.22656e-02,3.59853e-03,4.38104e-04
12,12,2.13638e-14,3.33984e-02,2.39902e-03,7.13516e-04
12,16,2.30512e-14,4.45312e-02,1.79926e-03,1.02650e-03
12,20,2.47388e-14,5.56641e-02,1.43941e-03,1.37706e-03
12,24,2.64263e-14,6.67969e-02,1.19951e-03,1.76519e-03
12,28,2.81137e-14,7.79297e-02,1.02815e-03,2.19090e-03
12,32,2.98012e-14,8.90625e-02,8.99632e-04,2.65417e-03
12,36,3.14887e-14,1.00195e-01,7.99673e-04,3.15503e-03
12,40,3.31762e-14,1.11328e-01,7.19705e-04,3.69345e-03
12,44,3.48637e-14,1.22461e-01,6.54278e-04,4.26945e-03
12,48,3.65513e-14,1.33594e-01,5.99755e-04,4.88302e-03
12,52,3.82388e-14,1.44727e-01,5.53620e-04,5.53416e-03
12,56,3.99262e-14,1.55859e-01,5.14075e-04,6.22288e-03
12,60,4.16138e-14,1.66992e-01,4.79804e-04,6.94917e-03
12,64,4.33013e-14,1.78125e-01,4.49816e-04,7.71304e-03
12,68,4.49888e-14,1.89258e-01,4.23356e-04,8.51447e-03
12,72,4.66763e-14,2.00391e-01,3.99836e-04,9.35348e-03
12,76,4.83638e-14,2.11523e-01,3.78792e-04,1.02301e-02
12,80,5.00513e-14,2.22656e-01,3.59853e-04,1.11442e-02
12,84,5.17388e-14,2.33789e-01,3.42717e-04,1.20960e-02
12,88,5.34262e-14,2.44922e-01,3.27139e-04,1.30853e-02
12,92,5.51138e-14,2.56055e-01,3.12915e-04,1.41121e-02
12,96,5.68013e-14,2.67187e-01,2.99877e-04,1.51766e-02
12,100,5.84887e-14,2.78320e-01,2.87882e-04,1.62786e-02
12,104,6.01763e-14,2.89453e-01,2.76810e-04,1.74182e-02
12,108,6.18637e-14,3.00586e-01,2.66558e-04,1.85954e-02
12,112,6.35513e-14,3.11719e-01,2.57038e-04,1.98101e-02
12,116,6.52388e-14,3.22852e-01,2.48174e-04,2.10624e-02
12,120,6.69263e-14,3.33984e-01,2.39902e-04,2.23523e-02
12,124,6.86138e-14,3.45117e-01,2.32163e-04,2.36798e-02
12,128,7.03013e-14,3.56250e-01,2.24908e-04,2.50448e-02
16,4,2.34225e-14,1.48437e-02,5.39779e-03,3.47678e-04
16,8,2.51100e-14,2.96875e-02,2.69890e-03,7.45453e-04
16,12,2.67975e-14,4.45312e-02,1.79926e-03,1.19333e-03
16,16,2.84850e-14,5.93750e-02,1.34945e-03,1.69130e-03
16,20,3.01725e-14,7.42188e-02,1.07956e-03,2.23937e-03
16,24,3.18600e-14,8.90625e-02,8.99632e-04,2.83753e-03
16,28,3.35475e-14,1.03906e-01,7.71113e-04,3.48579e-03
16,32,3.52350e-14,1.18750e-01,6.74724e-04,4.18416e-03
16,36,3.69225e-14,1.33594e-01,5.99755e-04,4.93262e-03
16,40,3.86100e-14,1.48438e-01,5.39779e-04,5.73117e-03
16,44,4.02975e-14,1.63281e-01,4.90708e-04,6.57983e-03
16,48,4.19850e-14,1.78125e-01,4.49816e-04,7.47858e-03
16,52,4.36725e-14,1.92969e-01,4.15215e-04,8.42743e-03
16,56,4.53600e-14,2.07812e-01,3.85556e-04,9.42638e-03
16,60,4.70475e-14,2.22656e-01,3.59853e-04,1.04754e-02
