Rows,Cols,Energy,TOPS,Time,Power Density
4,4,3.64375e-15,8.54492e-03,9.37673e-03,3.11356e-05
4,8,5.39688e-15,1.70898e-02,4.68837e-03,9.22318e-05
4,12,7.15000e-15,2.56348e-02,3.12558e-03,1.83289e-04
4,16,8.90313e-15,3.41797e-02,2.34418e-03,3.04306e-04
4,20,1.06563e-14,4.27246e-02,1.87535e-03,4.55284e-04
4,24,1.24094e-14,5.12695e-02,1.56279e-03,6.36223e-04
4,28,1.41625e-14,5.98145e-02,1.33953e-03,8.47122e-04
4,32,1.59156e-14,6.83594e-02,1.17209e-03,1.08798e-03
4,36,1.76687e-14,7.69043e-02,1.04186e-03,1.35880e-03
4,40,1.94219e-14,8.54492e-02,9.37673e-04,1.65958e-03
4,44,2.11750e-14,9.39941e-02,8.52430e-04,1.99033e-03
4,48,2.29281e-14,1.02539e-01,7.81394e-04,2.35103e-03
4,52,2.46813e-14,1.11084e-01,7.21287e-04,2.74169e-03
4,56,2.64344e-14,1.19629e-01,6.69767e-04,3.16232e-03
4,60,2.81875e-14,1.28174e-01,6.25116e-04,3.61290e-03
4,64,2.99406e-14,1.36719e-01,5.86046e-04,4.09344e-03
4,68,3.16938e-14,1.45264e-01,5.51573e-04,4.60395e-03
4,72,3.34469e-14,1.53809e-01,5.20930e-04,5.14442e-03
4,76,3.52000e-14,1.62354e-01,4.93512e-04,5.71484e-03
4,80,3.69531e-14,1.70898e-01,4.68837e-04,6.31523e-03
4,84,3.87062e-14,1.79443e-01,4.46511e-04,6.94558e-03
4,88,4.04594e-14,1.87988e-01,4.26215e-04,7.60589e-03
4,92,4.22125e-14,1.96533e-01,4.07684e-04,8.29616e-03
4,96,4.39656e-14,2.05078e-01,3.90697e-04,9.01639e-03
4,100,4.57188e-14,2.13623e-01,3.75069e-04,9.76658e-03
4,104,4.74719e-14,2.22168e-01,3.60644e-04,1.05467e-02
4,108,4.92250e-14,2.30713e-01,3.47286e-04,1.13568e-02
4,112,5.09781e-14,2.39258e-01,3.34883e-04,1.21969e-02
4,116,5.27313e-14,2.47803e-01,3.23336e-04,1.30669e-02
4,120,5.44844e-14,2.56348e-01,3.12558e-04,1.39669e-02
4,124,5.62375e-14,2.64893e-01,3.02475e-04,1.48969e-02
4,128,5.79906e-14,2.73438e-01,2.93023e-04,1.58568e-02
4,132,5.97437e-14,2.81982e-01,2.84143e-04,1.68467e-02
4,136,6.14969e-14,2.90527e-01,2.75786e-04,1.78665e-02
4,140,6.32500e-14,2.99072e-01,2.67907e-04,1.89163e-02
4,144,6.50031e-14,3.07617e-01,2.60465e-04,1.99961e-02
4,148,6.67563e-14,3.16162e-01,2.53425e-04,2.11058e-02
4,152,6.85094e-14,3.24707e-01,2.46756e-04,2.22455e-02
4,156,7.02625e-14,3.33252e-01,2.40429e-04,2.34151e-02
4,160,7.20156e-14,3.41797e-01,2.34418e-04,2.46147e-02
4,164,7.37688e-14,3.50342e-01,2.28701e-04,2.58443e-02
4,168,7.55219e-14,3.58887e-01,2.23256e-04,2.71038e-02
4,172,7.72750e-14,3.67432e-01,2.18064e-04,2.83933e-02
4,176,7.90281e-14,3.75977e-01,2.13108e-04,2.97127e-02
4,180,8.07812e-14,3.84521e-01,2.08372e-04,3.10621e-02
4,184,8.25344e-14,3.93066e-01,2.03842e-04,3.24415e-02
4,188,8.42875e-14,4.01611e-01,1.99505e-04,3.38508e-02
4,192,8.60406e-14,4.10156e-01,1.95349e-04,3.52901e-02
4,196,8.77938e-14,4.18701e-01,1.91362e-04,3.67593e-02
4,200,8.95469e-14,4.27246e-01,1.87535e-04,3.82586e-02
4,204,9.13000e-14,4.35791e-01,1.83858e-04,3.97877e-02
4,208,9.30531e-14,4.44336e-01,1.80322e-04,4.13468e-02
4,212,9.48063e-14,4.52881e-01,1.76920e-04,4.29359e-02
4,216,9.65594e-14,4.61426e-01,1.73643e-04,4.45550e-02
4,220,9.83125e-14,4.69971e-01,1.70486e-04,4.62040e-02
4,224,1.00066e-13,4.78516e-01,1.67442e-04,4.78830e-02
4,228,1.01819e-13,4.87061e-01,1.64504e-04,4.95919e-02
4,232,1.03572e-13,4.95605e-01,1.61668e-04,5.13308e-02
4,236,1.05325e-13,5.04150e-01,1.58928e-04,5.30996e-02
4,240,1.07078e-13,5.12695e-01,1.56279e-04,5.48985e-02
4,244,1.08831e-13,5.21240e-01,1.53717e-04,5.67272e-02
4,248,1.10584e-13,5.29785e-01,1.51238e-04,5.85860e-02
4,252,1.12337e-13,5.38330e-01,1.48837e-04,6.04747e-02
4,256,1.14091e-13,5.46875e-01,1.46511e-04,6.23933e-02
8,4,5.53438e-15,1.70898e-02,4.68837e-03,9.45816e-05
8,8,7.28750e-15,3.41797e-02,2.34418e-03,2.49084e-04
8,12,9.04062e-15,5.12695e-02,1.56279e-03,4.63509e-04
8,16,1.07938e-14,6.83594e-02,1.17209e-03,7.37854e-04
8,20,1.25469e-14,8.54492e-02,9.37673e-04,1.07212e-03
8,24,1.43000e-14,1.02539e-01,7.81394e-04,1.46631e-03
8,28,1.60531e-14,1.19629e-01,6.69767e-04,1.92042e-03
8,32,1.78063e-14,1.36719e-01,5.86046e-04,2.43445e-03
8,36,1.95594e-14,1.53809e-01,5.20930e-04,3.00840e-03
8,40,2.13125e-14,1.70898e-01,4.68837e-04,3.64227e-03
8,44,2.30656e-14,1.87988e-01,4.26215e-04,4.33607e-03
8,48,2.48187e-14,2.05078e-01,3.90697e-04,5.08978e-03
8,52,2.65719e-14,2.22168e-01,3.60644e-04,5.90342e-03
8,56,2.83250e-14,2.39258e-01,3.34883e-04,6.77698e-03
8,60,3.00781e-14,2.56348e-01,3.12558e-04,7.71046e-03
8,64,3.18313e-14,2.73438e-01,2.93023e-04,8.70386e-03
8,68,3.35844e-14,2.90527e-01,2.75786e-04,9.75718e-03
8,72,3.53375e-14,3.07617e-01,2.60465e-04,1.08704e-02
8,76,3.70906e-14,3.24707e-01,2.46756e-04,1.20436e-02
8,80,3.88438e-14,3.41797e-01,2.34418e-04,1.32767e-02
8,84,4.05969e-14,3.58887e-01,2.23256e-04,1.45697e-02
8,88,4.23500e-14,3.75977e-01,2.13108e-04,1.59226e-02
8,92,4.41031e-14,3.93066e-01,2.03842e-04,1.73355e-02
8,96,4.58562e-14,4.10156e-01,1.95349e-04,1.88082e-02
8,100,4.76094e-14,4.27246e-01,1.87535e-04,2.03409e-02
8,104,4.93625e-14,4.44336e-01,1.80322e-04,2.19335e-02
8,108,5.11156e-14,4.61426e-01,1.73643e-04,2.35861e-02
8,112,5.28688e-14,4.78516e-01,1.67442e-04,2.52985e-02
8,116,5.46219e-14,4.95605e-01,1.61668e-04,2.70709e-02
8,120,5.63750e-14,5.12695e-01,1.56279e-04,2.89032e-02
8,124,5.81281e-14,5.29785e-01,1.51238e-04,3.07954e-02
8,128,5.98813e-14,5.46875e-01,1.46511e-04,3.27476e-02
8,132,6.16344e-14,5.63965e-01,1.42072e-04,3.47596e-02
8,136,6.33875e-14,5.81055e-01,1.37893e-04,3.68316e-02
8,140,6.51406e-14,5.98145e-01,1.33953e-04,3.89635e-02
8,144,6.68937e-14,6.15234e-01,1.30232e-04,4.11553e-02
8,148,6.86469e-14,6.32324e-01,1.26713e-04,4.34071e-02
8,152,7.04000e-14,6.49414e-01,1.23378e-04,4.57188e-02
8,156,7.21531e-14,6.66504e-01,1.20215e-04,4.80903e-02
8,160,7.39063e-14,6.83594e-01,1.17209e-04,5.05219e-02
8,164,7.56594e-14,7.00684e-01,1.14350e-04,5.30133e-02
8,168,7.74125e-14,7.17773e-01,1.11628e-04,5.55646e-02
8,172,7.91656e-14,7.34863e-01,1.09032e-04,5.81759e-02
8,176,8.09188e-14,7.51953e-01,1.06554e-04,6.08471e-02
8,180,8.26719e-14,7.69043e-01,1.04186e-04,6.35782e-02
8,184,8.44250e-14,7.86133e-01,1.01921e-04,6.63693e-02
8,188,8.61781e-14,8.03223e-01,9.97525e-05,6.92202e-02
8,192,8.79312e-14,8.20312e-01,9.76743e-05,7.21311e-02
8,196,8.96844e-14,8.37402e-01,9.56810e-05,7.51019e-02
8,200,9.14375e-14,8.54492e-01,9.37673e-05,7.81326e-02
8,204,9.31906e-14,8.71582e-01,9.19288e-05,8.12233e-02
8,208,9.49438e-14,8.88672e-01,9.01609e-05,8.43738e-02
8,212,9.66969e-14,9.05762e-01,8.84598e-05,8.75843e-02
8,216,9.84500e-14,9.22852e-01,8.68216e-05,9.08547e-02
8,220,1.00203e-13,9.39941e-01,8.52430e-05,9.41851e-02
8,224,1.01956e-13,9.57031e-01,8.37208e-05,9.75753e-02
8,228,1.03709e-13,9.74121e-01,8.22520e-05,1.01025e-01
8,232,1.05463e-13,9.91211e-01,8.08339e-05,1.04536e-01
8,236,1.07216e-13,1.00830e+00,7.94638e-05,1.08106e-01
8,240,1.08969e-13,1.02539e+00,7.81394e-05,1.11736e-01
8,244,1.10722e-13,1.04248e+00,7.68585e-05,1.15425e-01
