Rows,Cols,Energy,TOPS,Time,Power Density
4,4,9.15750e-15,4.29688e-02,1.86469e-03,3.93486e-04
4,8,9.20250e-15,8.59375e-02,9.32346e-04,7.90840e-04
4,12,9.24750e-15,1.28906e-01,6.21564e-04,1.19206e-03
4,16,9.29250e-15,1.71875e-01,4.66173e-04,1.59715e-03
4,20,9.33750e-15,2.14844e-01,3.72938e-04,2.00610e-03
4,24,9.38250e-15,2.57812e-01,3.10782e-04,2.41893e-03
4,28,9.42750e-15,3.00781e-01,2.66384e-04,2.83562e-03
4,32,9.47250e-15,3.43750e-01,2.33086e-04,3.25617e-03
4,36,9.51750e-15,3.86719e-01,2.07188e-04,3.68060e-03
4,40,9.56250e-15,4.29688e-01,1.86469e-04,4.10889e-03
4,44,9.60750e-15,4.72656e-01,1.69517e-04,4.54104e-03
4,48,9.65250e-15,5.15625e-01,1.55391e-04,4.97707e-03
4,52,9.69750e-15,5.58594e-01,1.43438e-04,5.41696e-03
4,56,9.74250e-15,6.01562e-01,1.33192e-04,5.86072e-03
4,60,9.78750e-15,6.44531e-01,1.24313e-04,6.30835e-03
4,64,9.83250e-15,6.87500e-01,1.16543e-04,6.75984e-03
8,4,1.82700e-14,8.59375e-02,9.32346e-04,1.57008e-03
8,8,1.83150e-14,1.71875e-01,4.66173e-04,3.14789e-03
8,12,1.83600e-14,2.57812e-01,3.10782e-04,4.73344e-03
8,16,1.84050e-14,3.43750e-01,2.33086e-04,6.32672e-03
8,20,1.84500e-14,4.29688e-01,1.86469e-04,7.92773e-03
8,24,1.84950e-14,5.15625e-01,1.55391e-04,9.53648e-03
8,28,1.85400e-14,6.01562e-01,1.33192e-04,1.11530e-02
8,32,1.85850e-14,6.87500e-01,1.16543e-04,1.27772e-02
8,36,1.86300e-14,7.73438e-01,1.03594e-04,1.44091e-02
8,40,1.86750e-14,8.59375e-01,9.32346e-05,1.60488e-02
8,44,1.87200e-14,9.45312e-01,8.47587e-05,1.76963e-02
8,48,1.87650e-14,1.03125e+00,7.76955e-05,1.93514e-02
8,52,1.88100e-14,1.11719e+00,7.17189e-05,2.10143e-02
8,56,1.88550e-14,1.20312e+00,6.65961e-05,2.26849e-02
8,60,1.89000e-14,1.28906e+00,6.21564e-05,2.43633e-02
8,64,1.89450e-14,1.37500e+00,5.82716e-05,2.60494e-02
12,4,2.73825e-14,1.28906e-01,6.21564e-04,3.52978e-03
12,8,2.74275e-14,2.57812e-01,3.10782e-04,7.07115e-03
12,12,2.74725e-14,3.86719e-01,2.07188e-04,1.06241e-02
12,16,2.75175e-14,5.15625e-01,1.55391e-04,1.41887e-02
12,20,2.75625e-14,6.44531e-01,1.24313e-04,1.77649e-02
12,24,2.76075e-14,7.73438e-01,1.03594e-04,2.13527e-02
12,28,2.76525e-14,9.02344e-01,8.87948e-05,2.49521e-02
12,32,2.76975e-14,1.03125e+00,7.76955e-05,2.85630e-02
12,36,2.77425e-14,1.16016e+00,6.90626e-05,3.21856e-02
12,40,2.77875e-14,1.28906e+00,6.21564e-05,3.58198e-02
12,44,2.78325e-14,1.41797e+00,5.65058e-05,3.94656e-02
12,48,2.78775e-14,1.54688e+00,5.17970e-05,4.31230e-02
12,52,2.79225e-14,1.67578e+00,4.78126e-05,4.67920e-02
12,56,2.79675e-14,1.80469e+00,4.43974e-05,5.04726e-02
12,60,2.80125e-14,1.93359e+00,4.14376e-05,5.41648e-02
12,64,2.80575e-14,2.06250e+00,3.88477e-05,5.78686e-02
16,4,3.64950e-14,1.71875e-01,4.66173e-04,6.27258e-03
16,8,3.65400e-14,3.43750e-01,2.33086e-04,1.25606e-02
16,12,3.65850e-14,5.15625e-01,1.55391e-04,1.88641e-02
16,16,3.66300e-14,6.87500e-01,1.16543e-04,2.51831e-02
16,20,3.66750e-14,8.59375e-01,9.32346e-05,3.15176e-02
16,24,3.67200e-14,1.03125e+00,7.76955e-05,3.78675e-02
16,28,3.67650e-14,1.20312e+00,6.65961e-05,4.42329e-02
16,32,3.68100e-14,1.37500e+00,5.82716e-05,5.06137e-02
16,36,3.68550e-14,1.54688e+00,5.17970e-05,5.70101e-02
16,40,3.69000e-14,1.71875e+00,4.66173e-05,6.34219e-02
16,44,3.69450e-14,1.89062e+00,4.23793e-05,6.98491e-02
16,48,3.69900e-14,2.06250e+00,3.88477e-05,7.62919e-02
16,52,3.70350e-14,2.23438e+00,3.58594e-05,8.27501e-02
16,56,3.70800e-14,2.40625e+00,3.32981e-05,8.92237e-02
16,60,3.71250e-14,2.57812e+00,3.10782e-05,9.57129e-02
16,64,3.71700e-14,2.75000e+00,2.91358e-05,1.02218e-01
20,4,4.56075e-14,2.14844e-01,3.72938e-04,9.79849e-03
20,8,4.56525e-14,4.29688e-01,1.86469e-04,1.96163e-02
20,12,4.56975e-14,6.44531e-01,1.24313e-04,2.94535e-02
20,16,4.57425e-14,8.59375e-01,9.32346e-05,3.93100e-02
20,20,4.57875e-14,1.07422e+00,7.45877e-05,4.91858e-02
20,24,4.58325e-14,1.28906e+00,6.21564e-05,5.90810e-02
20,28,4.58775e-14,1.50391e+00,5.32769e-05,6.89955e-02
20,32,4.59225e-14,1.71875e+00,4.66173e-05,7.89293e-02
20,36,4.59675e-14,1.93359e+00,4.14376e-05,8.88825e-02
20,40,4.60125e-14,2.14844e+00,3.72938e-05,9.88550e-02
20,44,4.60575e-14,2.36328e+00,3.39035e-05,1.08847e-01
20,48,4.61025e-14,2.57812e+00,3.10782e-05,1.18858e-01
20,52,4.61475e-14,2.79297e+00,2.86876e-05,1.28889e-01
20,56,4.61925e-14,3.00781e+00,2.66384e-05,1.38938e-01
20,60,4.62375e-14,3.22266e+00,2.48626e-05,1.49008e-01
20,64,4.62825e-14,3.43750e+00,2.33086e-05,1.59096e-01
24,4,5.47200e-14,2.57812e-01,3.10782e-04,1.41075e-02
24,8,5.47650e-14,5.15625e-01,1.55391e-04,2.82382e-02
24,12,5.48100e-14,7.73438e-01,1.03594e-04,4.23921e-02
24,16,5.48550e-14,1.03125e+00,7.76955e-05,5.65692e-02
24,20,5.49000e-14,1.28906e+00,6.21564e-05,7.07695e-02
24,24,5.49450e-14,1.54688e+00,5.17970e-05,8.49930e-02
24,28,5.49900e-14,1.80469e+00,4.43974e-05,9.92398e-02
24,32,5.50350e-14,2.06250e+00,3.88477e-05,1.13510e-01
24,36,5.50800e-14,2.32031e+00,3.45313e-05,1.27803e-01
24,40,5.51250e-14,2.57812e+00,3.10782e-05,1.42119e-01
24,44,5.51700e-14,2.83594e+00,2.82529e-05,1.56459e-01
24,48,5.52150e-14,3.09375e+00,2.58985e-05,1.70821e-01
24,52,5.52600e-14,3.35156e+00,2.39063e-05,1.85207e-01
24,56,5.53050e-14,3.60938e+00,2.21987e-05,1.99616e-01
24,60,5.53500e-14,3.86719e+00,2.07188e-05,2.14049e-01
24,64,5.53950e-14,4.12500e+00,1.94239e-05,2.28504e-01
28,4,6.38325e-14,3.00781e-01,2.66384e-04,1.91996e-02
28,8,6.38775e-14,6.01562e-01,1.33192e-04,3.84263e-02
28,12,6.39225e-14,9.02344e-01,8.87948e-05,5.76801e-02
28,16,6.39675e-14,1.20312e+00,6.65961e-05,7.69609e-02
28,20,6.40125e-14,1.50391e+00,5.32769e-05,9.62688e-02
28,24,6.40575e-14,1.80469e+00,4.43974e-05,1.15604e-01
28,28,6.41025e-14,2.10547e+00,3.80549e-05,1.34966e-01
28,32,6.41475e-14,2.40625e+00,3.32981e-05,1.54355e-01
28,36,6.41925e-14,2.70703e+00,2.95983e-05,1.73771e-01
28,40,6.42375e-14,3.00781e+00,2.66384e-05,1.93214e-01
28,44,6.42825e-14,3.30859e+00,2.42168e-05,2.12685e-01
28,48,6.43275e-14,3.60938e+00,2.21987e-05,2.32182e-01
28,52,6.43725e-14,3.91016e+00,2.04911e-05,2.51707e-01
28,56,6.44175e-14,4.21094e+00,1.90275e-05,2.71258e-01
28,60,6.44625e-14,4.51172e+00,1.77590e-05,2.90837e-01
28,64,6.45075e-14,4.81250e+00,1.66490e-05,3.10442e-01
32,4,7.29450e-14,3.43750e-01,2.33086e-04,2.50748e-02
32,8,7.29900e-14,6.87500e-01,1.16543e-04,5.01806e-02
32,12,7.30350e-14,1.03125e+00,7.76955e-05,7.53173e-02
32,16,7.30800e-14,1.37500e+00,5.82716e-05,1.00485e-01
32,20,7.31250e-14,1.71875e+00,4.66173e-05,1.25684e-01
32,24,7.31700e-14,2.06250e+00,3.88477e-05,1.50913e-01
32,28,7.32150e-14,2.40625e+00,3.32981e-05,1.76174e-01
32,32,7.32600e-14,2.75000e+00,2.91358e-05,2.01465e-01
32,36,7.33050e-14,3.09375e+00,2.58985e-05,2.26787e-01
32,40,7.33500e-14,3.43750e+00,2.33086e-05,2.52141e-01
32,44,7.33950e-14,3.78125e+00,2.11897e-05,2.77525e-01
32,48,7.34400e-14,4.12500e+00,1.94239e-05,3.02940e-01
32,52,7.34850e-14,4.46875e+00,1.79297e-05,3.28386e-01
32,56,7.35300e-14,4.81250e+00,1.66490e-05,3.53863e-01
32,60,7.35750e-14,5.15625e+00,1.55391e-05,3.79371e-01
32,64,7.36200e-14,5.50000e+00,1.45679e-05,4.04910e-01
36,4,8.20575e-14,3.86719e-01,2.07188e-04,3.17332e-02
36,8,8.21025e-14,7.73438e-01,1.03594e-04,6.35012e-02
36,12,8.21475e-14,1.16016e+00,6.90626e-05,9.53039e-02
36,16,8.21925e-14,1.54688e+00,5.17970e-05,1.27142e-01
36,20,8.22375e-14,1.93359e+00,4.14376e-05,1.59014e-01
36,24,8.22825e-14,2.32031e+00,3.45313e-05,1.90921e-01
36,28,8.23275e-14,2.70703e+00,2.95983e-05,2.22863e-01
36,32,8.23725e-14,3.09375e+00,2.58985e-05,2.54840e-01
36,36,8.24175e-14,3.48047e+00,2.30209e-05,2.86852e-01
36,40,8.24625e-14,3.86719e+00,2.07188e-05,3.18898e-01
36,44,8.25075e-14,4.25391e+00,1.88353e-05,3.50979e-01
36,48,8.25525e-14,4.64062e+00,1.72657e-05,3.83095e-01
36,52,8.25975e-14,5.02734e+00,1.59375e-05,4.15246e-01
36,56,8.26425e-14,5.41406e+00,1.47991e-05,4.47432e-01
36,60,8.26875e-14,5.80078e+00,1.38125e-05,4.79652e-01
