Rows,Cols,Energy,TOPS,Time,Power Density
4,4,2.71875e-14,2.92969e-02,2.73488e-03,7.96509e-04
4,8,3.05859e-14,5.85938e-02,1.36744e-03,1.79214e-03
4,12,3.39844e-14,8.78906e-02,9.11627e-04,2.98691e-03
4,16,3.73828e-14,1.17188e-01,6.83720e-04,4.38080e-03
4,20,4.07812e-14,1.46484e-01,5.46976e-04,5.97382e-03
4,24,4.41797e-14,1.75781e-01,4.55813e-04,7.76596e-03
4,28,4.75781e-14,2.05078e-01,3.90697e-04,9.75723e-03
4,32,5.09766e-14,2.34375e-01,3.41860e-04,1.19476e-02
4,36,5.43750e-14,2.63672e-01,3.03876e-04,1.43372e-02
4,40,5.77734e-14,2.92969e-01,2.73488e-04,1.69258e-02
4,44,6.11719e-14,3.22266e-01,2.48626e-04,1.97136e-02
4,48,6.45703e-14,3.51562e-01,2.27907e-04,2.27005e-02
4,52,6.79687e-14,3.80859e-01,2.10375e-04,2.58865e-02
4,56,7.13672e-14,4.10156e-01,1.95349e-04,2.92717e-02
4,60,7.47656e-14,4.39453e-01,1.82325e-04,3.28560e-02
4,64,7.81641e-14,4.68750e-01,1.70930e-04,3.66394e-02
4,68,8.15625e-14,4.98047e-01,1.60875e-04,4.06219e-02
4,72,8.49609e-14,5.27344e-01,1.51938e-04,4.48036e-02
4,76,8.83594e-14,5.56641e-01,1.43941e-04,4.91844e-02
4,80,9.17578e-14,5.85938e-01,1.36744e-04,5.37643e-02
4,84,9.51563e-14,6.15234e-01,1.30232e-04,5.85434e-02
4,88,9.85547e-14,6.44531e-01,1.24313e-04,6.35216e-02
4,92,1.01953e-13,6.73828e-01,1.18908e-04,6.86989e-02
4,96,1.05352e-13,7.03125e-01,1.13953e-04,7.40753e-02
4,100,1.08750e-13,7.32422e-01,1.09395e-04,7.96509e-02
4,104,1.12148e-13,7.61719e-01,1.05188e-04,8.54256e-02
4,108,1.15547e-13,7.91016e-01,1.01292e-04,9.13994e-02
4,112,1.18945e-13,8.20312e-01,9.76743e-05,9.75723e-02
4,116,1.22344e-13,8.49609e-01,9.43062e-05,1.03944e-01
4,120,1.25742e-13,8.78906e-01,9.11627e-05,1.10516e-01
4,124,1.29141e-13,9.08203e-01,8.82220e-05,1.17286e-01
4,128,1.32539e-13,9.37500e-01,8.54650e-05,1.24255e-01
8,4,5.09766e-14,5.85938e-02,1.36744e-03,2.98691e-03
8,8,5.43750e-14,1.17188e-01,6.83720e-04,6.37207e-03
8,12,5.77734e-14,1.75781e-01,4.55813e-04,1.01555e-02
8,16,6.11719e-14,2.34375e-01,3.41860e-04,1.43372e-02
8,20,6.45703e-14,2.92969e-01,2.73488e-04,1.89171e-02
8,24,6.79687e-14,3.51562e-01,2.27907e-04,2.38953e-02
8,28,7.13672e-14,4.10156e-01,1.95349e-04,2.92717e-02
8,32,7.47656e-14,4.68750e-01,1.70930e-04,3.50464e-02
8,36,7.81641e-14,5.27344e-01,1.51938e-04,4.12193e-02
