Rows,Cols,Energy,TOPS,Time,Power Density
4,4,2.71875e-14,0.0292969,0.00273488,0.000796509
4,8,3.05859e-14,0.0585938,0.00136744,0.00179214
4,12,3.39844e-14,0.0878906,0.000911627,0.00298691
4,16,3.73828e-14,0.117188,0.00068372,0.0043808
4,20,4.07812e-14,0.146484,0.000546976,0.00597382
4,24,4.41797e-14,0.175781,0.000455813,0.00776596
4,28,4.75781e-14,0.205078,0.000390697,0.00975723
4,32,5.09766e-14,0.234375,0.00034186,0.0119476
4,36,5.4375e-14,0.263672,0.000303876,0.0143372
4,40,5.77734e-14,0.292969,0.000273488,0.0169258
4,44,6.11719e-14,0.322266,0.000248626,0.0197136
4,48,6.45703e-14,0.351562,0.000227907,0.0227005
4,52,6.79687e-14,0.380859,0.000210375,0.0258865
4,56,7.13672e-14,0.410156,0.000195349,0.0292717
4,60,7.47656e-14,0.439453,0.000182325,0.032856
4,64,7.81641e-14,0.46875,0.00017093,0.0366394
4,68,8.15625e-14,0.498047,0.000160875,0.0406219
4,72,8.49609e-14,0.527344,0.000151938,0.0448036
4,76,8.83594e-14,0.556641,0.000143941,0.0491844
4,80,9.17578e-14,0.585938,0.000136744,0.0537643
4,84,9.51563e-14,0.615234,0.000130232,0.0585434
4,88,9.85547e-14,0.644531,0.000124313,0.0635216
4,92,1.01953e-13,0.673828,0.000118908,0.0686989
4,96,1.05352e-13,0.703125,0.000113953,0.0740753
4,100,1.0875e-13,0.732422,0.000109395,0.0796509
4,104,1.12148e-13,0.761719,0.000105188,0.0854256
4,108,1.15547e-13,0.791016,0.000101292,0.0913994
4,112,1.18945e-13,0.820312,9.76743e-05,0.0975723
4,116,1.22344e-13,0.849609,9.43062e-05,0.103944
4,120,1.25742e-13,0.878906,9.11627e-05,0.110516
4,124,1.29141e-13,0.908203,8.8222e-05,0.117286
4,128,1.32539e-13,0.9375,8.5465e-05,0.124255
8,4,5.09766e-14,0.0585938,0.00136744,0.00298691
8,8,5.4375e-14,0.117188,0.00068372,0.00637207
8,12,5.77734e-14,0.175781,0.000455813,0.0101555
8,16,6.11719e-14,0.234375,0.00034186,0.0143372
8,20,6.45703e-14,0.292969,0.000273488,0.0189171
8,24,6.79687e-14,0.351562,0.000227907,0.0238953
