ou_row,ou_col,Latency,Power Density,TOPS,Energy_per_Mac
32,32,1110.0,0.4078125,1.875,2.175e-13
32,64,570.0,0.9175781249999999,3.75,2.446875e-13
32,96,400.0,1.529296875,5.625,2.71875e-13
32,128,295.0,2.24296875,7.5,2.990625e-13
64,32,684.0,1.529296875,3.75,4.078125e-13
64,64,354.0,3.2625,7.5,4.35e-13
64,96,264.0,5.1996093750000005,11.25,4.621875e-13
64,128,186.0,7.340624999999999,15.0,4.89375e-13
96,32,526.7970000576925,3.364453125,5.625,5.981249999999999e-13
96,64,289.73835003173076,7.0347656249999995,11.25,6.253124999999999e-13
128,32,413.0,5.91328125,7.5,7.884375e-13
