Layer #,Weight Sparsity (%),R Required,C Required,r,c,Latency,Energy,EDP,Chiplet #
1,5%,256,64,4,4,131072.0,524288.0,68719476736.0,1
2,50%,256,64,4,4,131072.0,2621440.0,343597383680.0,1
3,52%,224,64,4,4,114688.0,4128768.0,473520144384.0,1
4,51%,256,64,4,4,131072.0,8912896.0,1168231104512.0,1
5,55%,256,64,4,4,131072.0,17301504.0,2267742732288.0,1
6,51%,256,64,4,4,131072.0,34078720.0,4466765987840.0,1
7,56%,256,64,4,4,131072.0,34078720.0,4466765987840.0,1
8,52%,256,64,4,4,131072.0,68157440.0,8933531975680.0,1
9,63%,256,64,4,4,131072.0,135790592.0,17798344474624.0,1
10,71%,256,64,4,4,131072.0,135790592.0,17798344474624.0,1
11,81%,256,64,4,4,131072.0,135790592.0,17798344474624.0,1
12,85%,256,64,4,4,131072.0,135790592.0,17798344474624.0,1
13,89%,256,32,4,4,65536.0,67895296.0,4449586118656.0,1
14,60%,256,64,4,4,131072.0,741343232.0,97169340104704.0,1
15,65%,256,64,4,4,131072.0,964689920.0,126443837194240.0,2
16,55%,256,64,4,4,131072.0,235929600.0,30923764531200.0,2
