Layer,Weights,MACs,Weight_Sparsity,Activation_Sparsity
features.0,1728,86704128,0.3431712962962963,0.3125040482501594
features.3,36864,1849688064,0.408203125,0.03125217982700893
features.7,73728,924844032,0.22074381510416666,0.15625062280771684
features.10,147456,1849688064,0.2311740451388889,0.039064991230867346
features.14,294912,924844032,0.11216905381944445,0.03515625
features.17,589824,1849688064,0.08336046006944445,2.4912308673469386e-06
features.20,589824,1849688064,0.04490831163194445,0.0
features.24,1179648,924844032,0.0504608154296875,2.4912308673469386e-06
features.27,2359296,1849688064,0.06200832790798611,4.982461734693877e-06
features.30,2359296,1849688064,0.0697313944498698,7.473692602040816e-06
features.34,2359296,462422016,0.05397076076931424,0.0
features.37,2359296,462422016,0.051366170247395836,0.0
features.40,2359296,462422016,0.06241395738389757,0.00390625
classifier.0,102760448,102760448,0.2153863322978117,0.034912109375
classifier.3,16777216,16777216,0.1416109800338745,0.020751953125
classifier.6,4096000,4096000,0.063052734375,0.0
