Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.1371173469387755	256 x 32	8192
2	0.146728515625	256 x 32	8192
3	0.0257161458333333	256 x 32	8192
4	0.0248209635416666	256 x 32	8192
5	0.0245768229166666	256 x 32	8192
6	0.0274386935763888	256 x 32	8192
7	0.0309176974826388	256 x 32	8192
8	0.019287109375	256 x 32	8192
9	0.0306803385416666	256 x 32	8192
10	0.0320231119791666	256 x 32	8192
11	0.0351765950520833	256 x 32	8192
12	0.0386081271701388	256 x 32	8192
13	0.03192138671875	256 x 32	8192
14	0.04224141438802081	256 x 32	8192
15	0.045286390516493004	256 x 32	8192
16	0.04444461398654511	256 x 32	8192
17	0.0496550665961371	256 x 32	8192
18	0.0303726196289062	256 x 32	8192
19	0.0469390021430121	256 x 32	8192
20	0.0661964416503906	256 x 32	8192
21	0.013203125	256 x 32	8192
