Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.1371173469387755	64 x 32	2048
2	0.146728515625	64 x 32	2048
3	0.0257161458333333	64 x 32	2048
4	0.0248209635416666	64 x 32	2048
5	0.0245768229166666	64 x 32	2048
6	0.0274386935763888	64 x 32	2048
7	0.0309176974826388	64 x 32	2048
8	0.019287109375	64 x 32	2048
9	0.0306803385416666	64 x 32	2048
10	0.0320231119791666	64 x 32	2048
11	0.0351765950520833	64 x 32	2048
12	0.0386081271701388	64 x 32	2048
13	0.03192138671875	64 x 32	2048
14	0.04224141438802081	64 x 32	2048
15	0.045286390516493004	64 x 32	2048
16	0.04444461398654511	64 x 32	2048
17	0.0496550665961371	64 x 32	2048
18	0.0303726196289062	64 x 32	2048
19	0.0469390021430121	64 x 32	2048
20	0.0661964416503906	64 x 32	2048
21	0.013203125	64 x 32	2048
