Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.1371173469387755	512 x 32	16384
2	0.146728515625	512 x 32	16384
3	0.0257161458333333	512 x 32	16384
4	0.0248209635416666	512 x 32	16384
5	0.0245768229166666	512 x 32	16384
6	0.0274386935763888	512 x 32	16384
7	0.0309176974826388	512 x 32	16384
8	0.019287109375	512 x 32	16384
9	0.0306803385416666	512 x 32	16384
10	0.0320231119791666	512 x 32	16384
11	0.0351765950520833	512 x 32	16384
12	0.0386081271701388	512 x 32	16384
13	0.03192138671875	512 x 32	16384
14	0.04224141438802081	512 x 32	16384
15	0.045286390516493004	512 x 32	16384
16	0.04444461398654511	512 x 32	16384
17	0.0496550665961371	512 x 32	16384
18	0.0303726196289062	512 x 32	16384
19	0.0469390021430121	512 x 32	16384
20	0.0661964416503906	512 x 32	16384
21	0.013203125	512 x 32	16384
