Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.1371173469387755	128 x 32	4096
2	0.146728515625	128 x 32	4096
3	0.0257161458333333	128 x 32	4096
4	0.0248209635416666	128 x 32	4096
5	0.0245768229166666	128 x 32	4096
6	0.0274386935763888	128 x 32	4096
7	0.0309176974826388	128 x 32	4096
8	0.019287109375	128 x 32	4096
9	0.0306803385416666	128 x 32	4096
10	0.0320231119791666	128 x 32	4096
11	0.0351765950520833	128 x 32	4096
12	0.0386081271701388	128 x 32	4096
13	0.03192138671875	128 x 32	4096
14	0.04224141438802081	128 x 32	4096
15	0.045286390516493004	128 x 32	4096
16	0.04444461398654511	128 x 32	4096
17	0.0496550665961371	128 x 32	4096
18	0.0303726196289062	128 x 32	4096
19	0.0469390021430121	128 x 32	4096
20	0.0661964416503906	128 x 32	4096
21	0.013203125	128 x 32	4096
