Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.3431712962962963	256 x 32	8192
2	0.408203125	256 x 32	8192
3	0.2207438151041666	256 x 32	8192
4	0.2311740451388889	256 x 32	8192
5	0.11216905381944442	256 x 32	8192
6	0.0833604600694444	256 x 32	8192
7	0.044908311631944406	256 x 32	8192
8	0.0504608154296875	256 x 32	8192
9	0.0620083279079861	256 x 32	8192
10	0.0697313944498698	256 x 32	8192
11	0.05397076076931421	256 x 32	8192
12	0.05136617024739581	256 x 32	8192
13	0.0624139573838975	256 x 32	8192
14	0.2153863322978117	256 x 32	8192
15	0.1416109800338745	256 x 32	8192
16	0.063052734375	256 x 32	8192
