Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.3431712962962963	64 x 32	2048
2	0.408203125	64 x 32	2048
3	0.2207438151041666	64 x 32	2048
4	0.2311740451388889	64 x 32	2048
5	0.11216905381944442	64 x 32	2048
6	0.0833604600694444	64 x 32	2048
7	0.044908311631944406	64 x 32	2048
8	0.0504608154296875	64 x 32	2048
9	0.0620083279079861	64 x 32	2048
10	0.0697313944498698	64 x 32	2048
11	0.05397076076931421	64 x 32	2048
12	0.05136617024739581	64 x 32	2048
13	0.0624139573838975	64 x 32	2048
14	0.2153863322978117	64 x 32	2048
15	0.1416109800338745	64 x 32	2048
16	0.063052734375	64 x 32	2048
