Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.3431712962962963	512 x 32	16384
2	0.408203125	512 x 32	16384
3	0.2207438151041666	512 x 32	16384
4	0.2311740451388889	512 x 32	16384
5	0.11216905381944442	512 x 32	16384
6	0.0833604600694444	512 x 32	16384
7	0.044908311631944406	512 x 32	16384
8	0.0504608154296875	512 x 32	16384
9	0.0620083279079861	512 x 32	16384
10	0.0697313944498698	512 x 32	16384
11	0.05397076076931421	512 x 32	16384
12	0.05136617024739581	512 x 32	16384
13	0.0624139573838975	512 x 32	16384
14	0.2153863322978117	512 x 32	16384
15	0.1416109800338745	512 x 32	16384
16	0.063052734375	512 x 32	16384
