Layer: 1, Crossbars required: 1
OU Row: 4, OU Col: 4, OU required: 1024, Latency: 131072.0, Energy: 524288.0, Power Density: 0.00 W, TOPS: 7.40e-04, EPM: 1.09e-15
OU Row: 4, OU Col: 8, OU required: 512, Latency: 131072.0, Energy: 524288.0, Power Density: 0.00 W, TOPS: 1.48e-03, EPM: 1.11e-15
OU Row: 4, OU Col: 12, OU required: 342, Latency: 131328.0, Energy: 525312.0, Power Density: 0.00 W, TOPS: 2.22e-03, EPM: 1.13e-15
OU Row: 4, OU Col: 16, OU required: 256, Latency: 131072.0, Energy: 524288.0, Power Density: 0.00 W, TOPS: 2.96e-03, EPM: 1.15e-15
OU Row: 4, OU Col: 20, OU required: 205, Latency: 131200.0, Energy: 524800.0, Power Density: 0.00 W, TOPS: 3.70e-03, EPM: 1.17e-15
OU Row: 4, OU Col: 24, OU required: 171, Latency: 131328.0, Energy: 525312.0, Power Density: 0.00 W, TOPS: 4.44e-03, EPM: 1.19e-15
OU Row: 4, OU Col: 28, OU required: 147, Latency: 131712.0, Energy: 526848.0, Power Density: 0.00 W, TOPS: 5.18e-03, EPM: 1.21e-15
OU Row: 4, OU Col: 32, OU required: 128, Latency: 131072.0, Energy: 524288.0, Power Density: 0.00 W, TOPS: 5.92e-03, EPM: 1.23e-15
OU Row: 8, OU Col: 4, OU required: 512, Latency: 196608.0, Energy: 1572864.0, Power Density: 0.00 W, TOPS: 1.48e-03, EPM: 2.16e-15
OU Row: 8, OU Col: 8, OU required: 256, Latency: 196608.0, Energy: 1572864.0, Power Density: 0.00 W, TOPS: 2.96e-03, EPM: 2.18e-15
OU Row: 8, OU Col: 12, OU required: 171, Latency: 196992.0, Energy: 1575936.0, Power Density: 0.00 W, TOPS: 4.44e-03, EPM: 2.20e-15
OU Row: 8, OU Col: 16, OU required: 128, Latency: 196608.0, Energy: 1572864.0, Power Density: 0.00 W, TOPS: 5.92e-03, EPM: 2.22e-15
OU Row: 8, OU Col: 20, OU required: 103, Latency: 197760.0, Energy: 1582080.0, Power Density: 0.00 W, TOPS: 7.40e-03, EPM: 2.24e-15
OU Row: 8, OU Col: 24, OU required: 86, Latency: 198144.0, Energy: 1585152.0, Power Density: 0.00 W, TOPS: 8.88e-03, EPM: 2.26e-15
OU Row: 8, OU Col: 28, OU required: 74, Latency: 198912.0, Energy: 1591296.0, Power Density: 0.00 W, TOPS: 1.04e-02, EPM: 2.28e-15
OU Row: 8, OU Col: 32, OU required: 64, Latency: 196608.0, Energy: 1572864.0, Power Density: 0.00 W, TOPS: 1.18e-02, EPM: 2.30e-15
OU Row: 12, OU Col: 4, OU required: 342, Latency: 235402.97764735398, Energy: 2824835.7317682477, Power Density: 0.00 W, TOPS: 2.22e-03, EPM: 3.22e-15
OU Row: 12, OU Col: 8, OU required: 171, Latency: 235402.97764735398, Energy: 2824835.7317682477, Power Density: 0.00 W, TOPS: 4.44e-03, EPM: 3.25e-15
OU Row: 12, OU Col: 12, OU required: 114, Latency: 235402.97764735398, Energy: 2824835.7317682477, Power Density: 0.00 W, TOPS: 6.66e-03, EPM: 3.27e-15
OU Row: 12, OU Col: 16, OU required: 86, Latency: 236779.6032476309, Energy: 2841355.238971571, Power Density: 0.00 W, TOPS: 8.88e-03, EPM: 3.29e-15
OU Row: 12, OU Col: 20, OU required: 69, Latency: 237467.9160477694, Energy: 2849614.992573233, Power Density: 0.00 W, TOPS: 1.11e-02, EPM: 3.31e-15
OU Row: 12, OU Col: 24, OU required: 57, Latency: 235402.97764735398, Energy: 2824835.7317682477, Power Density: 0.00 W, TOPS: 1.33e-02, EPM: 3.33e-15
OU Row: 12, OU Col: 28, OU required: 49, Latency: 236091.29044749244, Energy: 2833095.4853699096, Power Density: 0.00 W, TOPS: 1.55e-02, EPM: 3.35e-15
OU Row: 12, OU Col: 32, OU required: 43, Latency: 236779.6032476309, Energy: 2841355.238971571, Power Density: 0.00 W, TOPS: 1.78e-02, EPM: 3.37e-15
OU Row: 16, OU Col: 4, OU required: 256, Latency: 262144.0, Energy: 4194304.0, Power Density: 0.00 W, TOPS: 2.96e-03, EPM: 4.29e-15
OU Row: 16, OU Col: 8, OU required: 128, Latency: 262144.0, Energy: 4194304.0, Power Density: 0.00 W, TOPS: 5.92e-03, EPM: 4.31e-15
OU Row: 16, OU Col: 12, OU required: 86, Latency: 264192.0, Energy: 4227072.0, Power Density: 0.00 W, TOPS: 8.88e-03, EPM: 4.33e-15
OU Row: 16, OU Col: 16, OU required: 64, Latency: 262144.0, Energy: 4194304.0, Power Density: 0.00 W, TOPS: 1.18e-02, EPM: 4.35e-15
OU Row: 16, OU Col: 20, OU required: 52, Latency: 266240.0, Energy: 4259840.0, Power Density: 0.00 W, TOPS: 1.48e-02, EPM: 4.37e-15
OU Row: 16, OU Col: 24, OU required: 43, Latency: 264192.0, Energy: 4227072.0, Power Density: 0.00 W, TOPS: 1.78e-02, EPM: 4.39e-15
OU Row: 16, OU Col: 28, OU required: 37, Latency: 265216.0, Energy: 4243456.0, Power Density: 0.00 W, TOPS: 2.07e-02, EPM: 4.42e-15
OU Row: 16, OU Col: 32, OU required: 32, Latency: 262144.0, Energy: 4194304.0, Power Density: 0.00 W, TOPS: 2.37e-02, EPM: 4.44e-15
OU Row: 20, OU Col: 4, OU required: 205, Latency: 283518.48302461096, Energy: 5670369.660492219, Power Density: 0.00 W, TOPS: 3.70e-03, EPM: 5.36e-15
OU Row: 20, OU Col: 8, OU required: 103, Latency: 284901.5000149749, Energy: 5698030.000299498, Power Density: 0.00 W, TOPS: 7.40e-03, EPM: 5.38e-15
OU Row: 20, OU Col: 12, OU required: 69, Latency: 286284.51700533886, Energy: 5725690.340106777, Power Density: 0.00 W, TOPS: 1.11e-02, EPM: 5.40e-15
OU Row: 20, OU Col: 16, OU required: 52, Latency: 287667.53399570286, Energy: 5753350.679914057, Power Density: 0.00 W, TOPS: 1.48e-02, EPM: 5.42e-15
OU Row: 20, OU Col: 20, OU required: 41, Latency: 283518.48302461096, Energy: 5670369.660492219, Power Density: 0.00 W, TOPS: 1.85e-02, EPM: 5.44e-15
OU Row: 20, OU Col: 24, OU required: 35, Latency: 290433.56797643076, Energy: 5808671.359528615, Power Density: 0.00 W, TOPS: 2.22e-02, EPM: 5.46e-15
