Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,features.conv0,73.5,118013952,0.04528061224489796,0.05873699577487245,6272.0
2,features.denseblock1.denselayer1.conv1,64.0,25690112,0.1826171875,0.262386399872449,1568.0
3,features.denseblock1.denselayer1.conv2,288.0,115605504,0.040771484375,0.36597427056760207,3136.0
4,features.denseblock1.denselayer2.conv1,96.0,38535168,0.058024088541666664,0.24508397108843538,2352.0
5,features.denseblock1.denselayer2.conv2,288.0,115605504,0.04676649305555555,0.4648387675382653,3136.0
6,features.denseblock1.denselayer3.conv1,128.0,51380224,0.0579833984375,0.23319415656887754,3136.0
7,features.denseblock1.denselayer3.conv2,288.0,115605504,0.030137803819444444,0.5252660634566326,3136.0
8,features.denseblock1.denselayer4.conv1,160.0,64225280,0.187744140625,0.37926498724489793,3920.0
9,features.denseblock1.denselayer4.conv2,288.0,115605504,0.029676649305555556,0.5888198541135204,3136.0
10,features.denseblock1.denselayer5.conv1,192.0,77070336,0.11112467447916667,0.3860926206420068,4704.0
11,features.denseblock1.denselayer5.conv2,288.0,115605504,0.03868272569444445,0.6114153180803571,3136.0
12,features.denseblock1.denselayer6.conv1,224.0,89915392,0.3536900111607143,0.5553765032798834,5488.0
13,features.denseblock1.denselayer6.conv2,288.0,115605504,0.031005859375,0.6471246213329082,3136.0
14,features.transition1.conv,256.0,102760448,0.039886474609375,0.35800108617665816,6272.0
15,features.denseblock2.denselayer1.conv1,128.0,12845056,0.39605712890625,0.5784339126275511,784.0
16,features.denseblock2.denselayer1.conv2,288.0,28901376,0.05140516493055555,0.4883310746173469,784.0
17,features.denseblock2.denselayer2.conv1,160.0,16056320,0.082373046875,0.483952487244898,980.0
18,features.denseblock2.denselayer2.conv2,288.0,28901376,0.034098307291666664,0.5326650191326531,784.0
19,features.denseblock2.denselayer3.conv1,192.0,19267584,0.14990234375,0.4844879357993197,1176.0
20,features.denseblock2.denselayer3.conv2,288.0,28901376,0.031087239583333332,0.6375358737244898,784.0
