Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,features.0,13.5,86704128,0.05,0.312503736846301,25088.0
2,features.3,288.0,1849688064,0.5,0.0312518684231505,25088.0
3,features.7,576.0,924844032,0.52,0.15625,12544.0
4,features.10,1152.0,1849688064,0.51,0.0390643684231505,12544.0
5,features.14,2304.0,924844032,0.55,0.0351587412308673,6272.0
6,features.17,4608.0,1849688064,0.51,1.2456154336734693e-06,6272.0
7,features.20,4608.0,1849688064,0.57,3.736846301020408e-06,6272.0
8,features.24,9216.0,924844032,0.52,0.0,3136.0
9,features.27,18432.0,1849688064,0.63,0.0,3136.0
10,features.30,18432.0,1849688064,0.71,0.0,3136.0
11,features.34,18432.0,462422016,0.81,9.964923469387754e-06,784.0
12,features.37,18432.0,462422016,0.85,0.0,784.0
13,features.40,18432.0,462422016,0.89,0.00390625,784.0
14,classifier.0,100742.0,1027608,0.60,0.034912109375,32.0
15,classifier.3,131072.0,16777216,0.65,0.020751953125,32.0
16,classifier.6,32000.0,4096000,0.55,0.0,7.8125
